INA219 - Current: 0.376 A, Voltage: 8.69 V, Power: 3.294 W (Heat: 51%)
INA219 - Current: 0.132 A, Voltage: 8.55 V, Power: 1.140 W (Heat: 51%)
INA219 - Current: 0.169 A, Voltage: 8.65 V, Power: 1.452 W (Heat: 51%)
INA219 - Current: 0.414 A, Voltage: 8.75 V, Power: 3.588 W (Heat: 51%)
INA219 - Current: 0.657 A, Voltage: 8.78 V, Power: 5.770 W (Heat: 51%)
INA219 - Current: 0.901 A, Voltage: 8.90 V, Power: 8.012 W (Heat: 51%)
INA219 - Current: 0.972 A, Voltage: 9.01 V, Power: 10.316 W (Heat: 51%)
INA219 - Current: 1.193 A, Voltage: 9.05 V, Power: 9.230 W (Heat: 51%)
INA219 - Current: 0.949 A, Voltage: 8.94 V, Power: 8.556 W (Heat: 51%)
INA219 - Current: 0.705 A, Voltage: 8.84 V, Power: 6.282 W (Heat: 51%)
INA219 - Current: 0.461 A, Voltage: 8.73 V, Power: 4.060 W (Heat: 51%)
INA219 - Current: 0.219 A, Voltage: 8.61 V, Power: 1.900 W (Heat: 51%)
INA219 - Current: 0.083 A, Voltage: 8.61 V, Power: 0.708 W (Heat: 51%)
INA219 - Current: 0.325 A, Voltage: 8.72 V, Power: 2.812 W (Heat: 51%)
INA219 - Current: 0.570 A, Voltage: 8.75 V, Power: 4.984 W (Heat: 51%)
INA219 - Current: 0.812 A, Voltage: 8.86 V, Power: 7.192 W (Heat: 51%)
INA219 - Current: 0.883 A, Voltage: 8.97 V, Power: 9.466 W (Heat: 51%)
INA219 - Current: 1.125 A, Voltage: 9.08 V, Power: 10.076 W (Heat: 51%)
INA219 - Current: 1.040 A, Voltage: 8.98 V, Power: 7.786 W (Heat: 51%)
INA219 - Current: 0.796 A, Voltage: 8.87 V, Power: 7.120 W (Heat: 51%)
INA219 - Current: 0.553 A, Voltage: 8.77 V, Power: 4.892 W (Heat: 51%)
INA219 - Current: 0.311 A, Voltage: 8.66 V, Power: 2.714 W (Heat: 51%)
INA219 - Current: 0.068 A, Voltage: 8.56 V, Power: 0.590 W (Heat: 51%)
INA219 - Current: 0.233 A, Voltage: 8.68 V, Power: 1.998 W (Heat: 51%)
INA219 - Current: 0.475 A, Voltage: 8.71 V, Power: 4.138 W (Heat: 51%)
INA219 - Current: 0.719 A, Voltage: 8.81 V, Power: 6.338 W (Heat: 51%)
INA219 - Current: 0.962 A, Voltage: 8.92 V, Power: 8.572 W (Heat: 51%)
INA219 - Current: 1.031 A, Voltage: 9.04 V, Power: 10.794 W (Heat: 51%)
INA219 - Current: 1.134 A, Voltage: 9.01 V, Power: 8.668 W (Heat: 51%)
INA219 - Current: 0.891 A, Voltage: 8.92 V, Power: 8.016 W (Heat: 51%)
INA219 - Current: 0.649 A, Voltage: 8.81 V, Power: 5.760 W (Heat: 51%)
INA219 - Current: 0.406 A, Voltage: 8.70 V, Power: 3.568 W (Heat: 51%)
INA219 - Current: 0.164 A, Voltage: 8.58 V, Power: 1.418 W (Heat: 51%)
INA219 - Current: 0.136 A, Voltage: 8.64 V, Power: 1.166 W (Heat: 51%)
INA219 - Current: 0.378 A, Voltage: 8.74 V, Power: 3.276 W (Heat: 51%)
INA219 - Current: 0.622 A, Voltage: 8.77 V, Power: 5.450 W (Heat: 51%)
INA219 - Current: 0.864 A, Voltage: 8.88 V, Power: 7.668 W (Heat: 51%)
INA219 - Current: 0.933 A, Voltage: 8.99 V, Power: 9.932 W (Heat: 51%)
INA219 - Current: 1.174 A, Voltage: 9.07 V, Power: 9.620 W (Heat: 51%)
INA219 - Current: 0.991 A, Voltage: 8.96 V, Power: 7.336 W (Heat: 51%)
INA219 - Current: 0.749 A, Voltage: 8.86 V, Power: 6.692 W (Heat: 51%)
INA219 - Current: 0.507 A, Voltage: 8.75 V, Power: 4.476 W (Heat: 51%)
INA219 - Current: 0.266 A, Voltage: 8.63 V, Power: 2.310 W (Heat: 51%)
INA219 - Current: 0.057 A, Voltage: 8.59 V, Power: 0.492 W (Heat: 51%)
INA219 - Current: 0.276 A, Voltage: 8.70 V, Power: 2.376 W (Heat: 51%)
INA219 - Current: 0.518 A, Voltage: 8.72 V, Power: 4.512 W (Heat: 51%)
INA219 - Current: 0.761 A, Voltage: 8.83 V, Power: 6.718 W (Heat: 51%)
INA219 - Current: 0.830 A, Voltage: 8.94 V, Power: 8.966 W (Heat: 51%)
INA219 - Current: 1.071 A, Voltage: 9.07 V, Power: 10.544 W (Heat: 51%)
INA219 - Current: 1.094 A, Voltage: 9.01 V, Power: 8.296 W (Heat: 51%)
INA219 - Current: 0.851 A, Voltage: 8.90 V, Power: 7.636 W (Heat: 51%)
INA219 - Current: 0.610 A, Voltage: 8.79 V, Power: 5.410 W (Heat: 51%)
INA219 - Current: 0.368 A, Voltage: 8.69 V, Power: 3.224 W (Heat: 51%)
INA219 - Current: 0.126 A, Voltage: 8.56 V, Power: 1.094 W (Heat: 51%)
INA219 - Current: 0.173 A, Voltage: 8.65 V, Power: 1.488 W (Heat: 51%)
INA219 - Current: 0.415 A, Voltage: 8.76 V, Power: 3.602 W (Heat: 51%)
INA219 - Current: 0.656 A, Voltage: 8.78 V, Power: 5.760 W (Heat: 51%)
INA219 - Current: 0.899 A, Voltage: 8.88 V, Power: 7.982 W (Heat: 51%)
INA219 - Current: 0.968 A, Voltage: 9.01 V, Power: 10.272 W (Heat: 51%)
INA219 - Current: 1.193 A, Voltage: 9.05 V, Power: 9.280 W (Heat: 51%)
INA219 - Current: 0.956 A, Voltage: 8.94 V, Power: 8.614 W (Heat: 51%)
INA219 - Current: 0.714 A, Voltage: 8.84 V, Power: 6.366 W (Heat: 51%)
INA219 - Current: 0.472 A, Voltage: 8.74 V, Power: 4.162 W (Heat: 51%)
INA219 - Current: 0.231 A, Voltage: 8.62 V, Power: 2.008 W (Heat: 51%)
INA219 - Current: 0.067 A, Voltage: 8.61 V, Power: 0.576 W (Heat: 51%)
INA219 - Current: 0.308 A, Voltage: 8.71 V, Power: 2.664 W (Heat: 51%)
INA219 - Current: 0.551 A, Voltage: 8.74 V, Power: 4.814 W (Heat: 51%)
INA219 - Current: 0.793 A, Voltage: 8.84 V, Power: 7.010 W (Heat: 51%)
INA219 - Current: 0.861 A, Voltage: 8.96 V, Power: 9.258 W (Heat: 51%)
INA219 - Current: 1.102 A, Voltage: 9.07 V, Power: 10.266 W (Heat: 51%)
INA219 - Current: 1.062 A, Voltage: 8.98 V, Power: 7.996 W (Heat: 51%)
INA219 - Current: 0.821 A, Voltage: 8.89 V, Power: 7.356 W (Heat: 51%)
INA219 - Current: 0.580 A, Voltage: 8.79 V, Power: 5.134 W (Heat: 51%)
